DEBUG [2020-11-02 23:34:54,884] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: idealimage
DEBUG [2020-11-02 23:34:54,884] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:3; LastCheckedRemotes:11/2/2020 11:32:40 PM; LastUsedView:Log; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:0; SidebarExpandedItems:2; SidebarWidth:210; SubtreeLinks:0
DEBUG [2020-11-02 23:34:54,886] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2020-11-02 23:34:59,959] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2020-11-02 23:34:59,960] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: idealimagehome
DEBUG [2020-11-02 23:34:59,960] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:0; LastCheckedRemotes:11/2/2020 11:32:17 PM; LastUsedView:Log; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:1; SidebarExpandedItems:0; SidebarWidth:210; SubtreeLinks:0
DEBUG [2020-11-02 23:34:59,962] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2020-11-02 23:35:18,826] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2020-11-02 23:35:18,827] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: idealimage
DEBUG [2020-11-02 23:35:18,827] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings: AutoRefresh:True; AutoRefreshRemotes:True; CommitTextLinks:0; DraftCommitMsg:; IncomingSavedCount:0; LastCheckedRemotes:11/2/2020 11:35:18 PM; LastUsedView:Log; LogBranchFilterIndex:0; OutgoingSavedCount:0; RemoteProjectLinks:0; SidebarExpandedItems:1; SidebarWidth:210; SubtreeLinks:0
DEBUG [2020-11-02 23:35:18,828] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saved.
DEBUG [2020-11-02 23:37:53,525] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Saving config...
DEBUG [2020-11-02 23:37:53,526] [1] [Microsoft.Extensions.Logging.Logger] [Log] - CustomSettings. Repo name: idealimage
